Setting datarate of the specified interface to: 1kbps
[32m2023-05-16 22:21:10.167[0m | [1mINFO    [0m | [36mtraffictoll.cli[0m:[36mmain[0m:[36m118[0m - [1mNo global upload rate specified, upload traffic prioritization won't work[0m
[32m2023-05-16 22:21:10.168[0m | [1mINFO    [0m | [36mtraffictoll.cli[0m:[36mmain[0m:[36m146[0m - [1mSetting up global class with max download rate: 1kbps (minimum: 1kbps) and priority: 0[0m
[32m2023-05-16 22:21:10.168[0m | [1mINFO    [0m | [36mtraffictoll.cli[0m:[36mmain[0m:[36m176[0m - [1mSetting up global class with unlimited upload rate (minimum: 10kbps) and priority: 0[0m
PING 192.168.1.107 (192.168.1.107) from 192.168.1.61 wlp4s0: 56(84) bytes of data.
64 bytes from 192.168.1.107: icmp_seq=164 ttl=64 time=6.94 ms
64 bytes from 192.168.1.107: icmp_seq=165 ttl=64 time=8.53 ms
64 bytes from 192.168.1.107: icmp_seq=166 ttl=64 time=9.89 ms
64 bytes from 192.168.1.107: icmp_seq=167 ttl=64 time=19.4 ms
64 bytes from 192.168.1.107: icmp_seq=168 ttl=64 time=3.30 ms
64 bytes from 192.168.1.107: icmp_seq=169 ttl=64 time=13.0 ms
64 bytes from 192.168.1.107: icmp_seq=170 ttl=64 time=9.89 ms
64 bytes from 192.168.1.107: icmp_seq=171 ttl=64 time=14.4 ms
64 bytes from 192.168.1.107: icmp_seq=172 ttl=64 time=12.8 ms
64 bytes from 192.168.1.107: icmp_seq=173 ttl=64 time=22.4 ms
64 bytes from 192.168.1.107: icmp_seq=174 ttl=64 time=22.5 ms
64 bytes from 192.168.1.107: icmp_seq=175 ttl=64 time=6.88 ms
64 bytes from 192.168.1.107: icmp_seq=176 ttl=64 time=5.24 ms
64 bytes from 192.168.1.107: icmp_seq=177 ttl=64 time=3.52 ms
64 bytes from 192.168.1.107: icmp_seq=178 ttl=64 time=6.16 ms
64 bytes from 192.168.1.107: icmp_seq=179 ttl=64 time=9.29 ms
64 bytes from 192.168.1.107: icmp_seq=180 ttl=64 time=14.1 ms
64 bytes from 192.168.1.107: icmp_seq=181 ttl=64 time=5.73 ms
64 bytes from 192.168.1.107: icmp_seq=182 ttl=64 time=12.9 ms
64 bytes from 192.168.1.107: icmp_seq=183 ttl=64 time=10.2 ms
64 bytes from 192.168.1.107: icmp_seq=184 ttl=64 time=4.33 ms
64 bytes from 192.168.1.107: icmp_seq=185 ttl=64 time=19.8 ms
64 bytes from 192.168.1.107: icmp_seq=186 ttl=64 time=5.52 ms
64 bytes from 192.168.1.107: icmp_seq=187 ttl=64 time=4.04 ms
64 bytes from 192.168.1.107: icmp_seq=188 ttl=64 time=3.34 ms
64 bytes from 192.168.1.107: icmp_seq=189 ttl=64 time=14.6 ms
64 bytes from 192.168.1.107: icmp_seq=190 ttl=64 time=6.89 ms
64 bytes from 192.168.1.107: icmp_seq=191 ttl=64 time=5.42 ms
64 bytes from 192.168.1.107: icmp_seq=192 ttl=64 time=9.21 ms
64 bytes from 192.168.1.107: icmp_seq=193 ttl=64 time=9.92 ms
64 bytes from 192.168.1.107: icmp_seq=194 ttl=64 time=13.7 ms
64 bytes from 192.168.1.107: icmp_seq=195 ttl=64 time=10.9 ms
64 bytes from 192.168.1.107: icmp_seq=196 ttl=64 time=123 ms
64 bytes from 192.168.1.107: icmp_seq=197 ttl=64 time=10.4 ms
64 bytes from 192.168.1.107: icmp_seq=198 ttl=64 time=23.1 ms
64 bytes from 192.168.1.107: icmp_seq=199 ttl=64 time=11.0 ms
64 bytes from 192.168.1.107: icmp_seq=200 ttl=64 time=3.70 ms
64 bytes from 192.168.1.107: icmp_seq=201 ttl=64 time=12.8 ms
64 bytes from 192.168.1.107: icmp_seq=202 ttl=64 time=5.44 ms
64 bytes from 192.168.1.107: icmp_seq=203 ttl=64 time=2.96 ms
64 bytes from 192.168.1.107: icmp_seq=204 ttl=64 time=10.3 ms
64 bytes from 192.168.1.107: icmp_seq=205 ttl=64 time=9.12 ms
64 bytes from 192.168.1.107: icmp_seq=206 ttl=64 time=5.25 ms
64 bytes from 192.168.1.107: icmp_seq=207 ttl=64 time=30.8 ms
64 bytes from 192.168.1.107: icmp_seq=208 ttl=64 time=3.50 ms
64 bytes from 192.168.1.107: icmp_seq=209 ttl=64 time=17.7 ms
64 bytes from 192.168.1.107: icmp_seq=210 ttl=64 time=97.9 ms
64 bytes from 192.168.1.107: icmp_seq=211 ttl=64 time=7.38 ms
64 bytes from 192.168.1.107: icmp_seq=212 ttl=64 time=5.88 ms
64 bytes from 192.168.1.107: icmp_seq=213 ttl=64 time=10.6 ms
64 bytes from 192.168.1.107: icmp_seq=214 ttl=64 time=14.0 ms
64 bytes from 192.168.1.107: icmp_seq=215 ttl=64 time=5.17 ms
64 bytes from 192.168.1.107: icmp_seq=216 ttl=64 time=11.0 ms
64 bytes from 192.168.1.107: icmp_seq=217 ttl=64 time=8.53 ms
64 bytes from 192.168.1.107: icmp_seq=218 ttl=64 time=7.79 ms
64 bytes from 192.168.1.107: icmp_seq=219 ttl=64 time=19.5 ms
64 bytes from 192.168.1.107: icmp_seq=220 ttl=64 time=3.25 ms
64 bytes from 192.168.1.107: icmp_seq=221 ttl=64 time=5.08 ms
64 bytes from 192.168.1.107: icmp_seq=222 ttl=64 time=14.3 ms
64 bytes from 192.168.1.107: icmp_seq=223 ttl=64 time=17.2 ms
64 bytes from 192.168.1.107: icmp_seq=224 ttl=64 time=12.4 ms
64 bytes from 192.168.1.107: icmp_seq=225 ttl=64 time=3.08 ms
64 bytes from 192.168.1.107: icmp_seq=226 ttl=64 time=20.9 ms
64 bytes from 192.168.1.107: icmp_seq=227 ttl=64 time=13.8 ms
