Cannot exec './scripts/conditions.sh': No such file or directory
Cannot exec './scripts/conditions.sh limit --datarate=100bps': No such file or directory
kroot@fedora:~\[?2004h[root@fedora ~]# PING 192.168.1.107 (192.168.1.107) from 192.168.1.251 wlp4s0: 56(84) bytes of data.
64 bytes from 192.168.1.107: icmp_seq=121 ttl=64 time=1.55 ms
64 bytes from 192.168.1.107: icmp_seq=122 ttl=64 time=2.51 ms
64 bytes from 192.168.1.107: icmp_seq=123 ttl=64 time=1.35 ms
64 bytes from 192.168.1.107: icmp_seq=124 ttl=64 time=3.76 ms
64 bytes from 192.168.1.107: icmp_seq=125 ttl=64 time=1.34 ms
64 bytes from 192.168.1.107: icmp_seq=126 ttl=64 time=1.60 ms
64 bytes from 192.168.1.107: icmp_seq=127 ttl=64 time=1.47 ms
64 bytes from 192.168.1.107: icmp_seq=128 ttl=64 time=2.30 ms
64 bytes from 192.168.1.107: icmp_seq=129 ttl=64 time=1.37 ms
64 bytes from 192.168.1.107: icmp_seq=130 ttl=64 time=1.42 ms
64 bytes from 192.168.1.107: icmp_seq=131 ttl=64 time=3.41 ms
64 bytes from 192.168.1.107: icmp_seq=132 ttl=64 time=1.92 ms
64 bytes from 192.168.1.107: icmp_seq=133 ttl=64 time=1.51 ms
64 bytes from 192.168.1.107: icmp_seq=134 ttl=64 time=1.58 ms
64 bytes from 192.168.1.107: icmp_seq=135 ttl=64 time=3.77 ms
64 bytes from 192.168.1.107: icmp_seq=136 ttl=64 time=2.96 ms
64 bytes from 192.168.1.107: icmp_seq=137 ttl=64 time=1.87 ms
64 bytes from 192.168.1.107: icmp_seq=138 ttl=64 time=1.78 ms
64 bytes from 192.168.1.107: icmp_seq=139 ttl=64 time=1.68 ms
64 bytes from 192.168.1.107: icmp_seq=140 ttl=64 time=1.30 ms
64 bytes from 192.168.1.107: icmp_seq=141 ttl=64 time=2.16 ms
64 bytes from 192.168.1.107: icmp_seq=142 ttl=64 time=1.54 ms
64 bytes from 192.168.1.107: icmp_seq=143 ttl=64 time=9.86 ms
64 bytes from 192.168.1.107: icmp_seq=144 ttl=64 time=2.97 ms
64 bytes from 192.168.1.107: icmp_seq=145 ttl=64 time=2.05 ms
64 bytes from 192.168.1.107: icmp_seq=146 ttl=64 time=1.54 ms
64 bytes from 192.168.1.107: icmp_seq=147 ttl=64 time=3.26 ms
64 bytes from 192.168.1.107: icmp_seq=148 ttl=64 time=1.21 ms
64 bytes from 192.168.1.107: icmp_seq=149 ttl=64 time=4.08 ms
64 bytes from 192.168.1.107: icmp_seq=150 ttl=64 time=4.95 ms
64 bytes from 192.168.1.107: icmp_seq=151 ttl=64 time=4.95 ms
64 bytes from 192.168.1.107: icmp_seq=152 ttl=64 time=6.61 ms
64 bytes from 192.168.1.107: icmp_seq=153 ttl=64 time=3.87 ms
64 bytes from 192.168.1.107: icmp_seq=154 ttl=64 time=2.32 ms
64 bytes from 192.168.1.107: icmp_seq=155 ttl=64 time=1.48 ms
64 bytes from 192.168.1.107: icmp_seq=156 ttl=64 time=3.20 ms
64 bytes from 192.168.1.107: icmp_seq=157 ttl=64 time=2.86 ms
64 bytes from 192.168.1.107: icmp_seq=158 ttl=64 time=1.57 ms
64 bytes from 192.168.1.107: icmp_seq=159 ttl=64 time=1.65 ms
64 bytes from 192.168.1.107: icmp_seq=160 ttl=64 time=1.45 ms
64 bytes from 192.168.1.107: icmp_seq=161 ttl=64 time=3.39 ms
64 bytes from 192.168.1.107: icmp_seq=162 ttl=64 time=2.10 ms
64 bytes from 192.168.1.107: icmp_seq=163 ttl=64 time=1.40 ms
64 bytes from 192.168.1.107: icmp_seq=164 ttl=64 time=1.33 ms
64 bytes from 192.168.1.107: icmp_seq=165 ttl=64 time=2.66 ms
64 bytes from 192.168.1.107: icmp_seq=166 ttl=64 time=1.39 ms
64 bytes from 192.168.1.107: icmp_seq=167 ttl=64 time=1.68 ms
64 bytes from 192.168.1.107: icmp_seq=168 ttl=64 time=1.62 ms
64 bytes from 192.168.1.107: icmp_seq=169 ttl=64 time=2.35 ms
64 bytes from 192.168.1.107: icmp_seq=170 ttl=64 time=1.63 ms
64 bytes from 192.168.1.107: icmp_seq=171 ttl=64 time=1.60 ms
64 bytes from 192.168.1.107: icmp_seq=172 ttl=64 time=2.72 ms
64 bytes from 192.168.1.107: icmp_seq=173 ttl=64 time=2.15 ms
64 bytes from 192.168.1.107: icmp_seq=174 ttl=64 time=1.63 ms
64 bytes from 192.168.1.107: icmp_seq=175 ttl=64 time=1.91 ms
64 bytes from 192.168.1.107: icmp_seq=176 ttl=64 time=1.67 ms
64 bytes from 192.168.1.107: icmp_seq=177 ttl=64 time=2.17 ms
64 bytes from 192.168.1.107: icmp_seq=178 ttl=64 time=1.63 ms
64 bytes from 192.168.1.107: icmp_seq=179 ttl=64 time=1.63 ms
64 bytes from 192.168.1.107: icmp_seq=180 ttl=64 time=1.97 ms
64 bytes from 192.168.1.107: icmp_seq=181 ttl=64 time=1.50 ms
64 bytes from 192.168.1.107: icmp_seq=182 ttl=64 time=1.75 ms
64 bytes from 192.168.1.107: icmp_seq=183 ttl=64 time=1.52 ms
64 bytes from 192.168.1.107: icmp_seq=184 ttl=64 time=1.50 ms
64 bytes from 192.168.1.107: icmp_seq=185 ttl=64 time=3.04 ms
64 bytes from 192.168.1.107: icmp_seq=186 ttl=64 time=1.43 ms
64 bytes from 192.168.1.107: icmp_seq=187 ttl=64 time=1.35 ms
64 bytes from 192.168.1.107: icmp_seq=188 ttl=64 time=1.42 ms
64 bytes from 192.168.1.107: icmp_seq=189 ttl=64 time=5.76 ms
64 bytes from 192.168.1.107: icmp_seq=190 ttl=64 time=1.60 ms
64 bytes from 192.168.1.107: icmp_seq=191 ttl=64 time=1.51 ms
64 bytes from 192.168.1.107: icmp_seq=192 ttl=64 time=1.48 ms
64 bytes from 192.168.1.107: icmp_seq=193 ttl=64 time=2.62 ms
64 bytes from 192.168.1.107: icmp_seq=194 ttl=64 time=2.45 ms
64 bytes from 192.168.1.107: icmp_seq=195 ttl=64 time=2.77 ms
64 bytes from 192.168.1.107: icmp_seq=196 ttl=64 time=3.09 ms
